,Name,Groups,Operation System,"EndpointsBreakdown*,Compliance",Next Slot Start,Next Slot End,Exemption,Next Slot StartNext Slot End,Next Slot EndExemption,madsfkzb165.nmhsd.Icl,Intune-Endpoints,Windows 10,"Compliance1|0|7Maintenance WindowExpired, UpdatingEndpoint Group87.50%",Range,Exemption Reason
42,madsfkzb255.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|10 100.00%,,,,,,,,,,91-100%,Fully Patched
43,madsfkzb047.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|7 100.00%,,,,,,,,,,91-100%,Fully Patched
44,madsfkzb138.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|10 100.00%,,,,,,,,,,91-100%,Fully Patched
45,DITSFALT413.nmhsd.Icl,Intune-Endpoints,Windows 10,0|1|13 92.86%,,,"Failed, MaintenanceWindow Expired",,,,,,,91-100%,Need to analyze the issue
46,hsd-mxl8251hp2.nmhsd.lcl,Intune-Endpoints,Windows 10,24|0|0 0.00%,,,MaintenanceWindow Expired,,,,,,,<70%,Disconnected
47,isddemzb378.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|10 100.00%,,,,,,,,,,91-100%,Fully Patched
48,hsd-5cg0231j2l.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|7 87.50%,,,,,"Disconnected, MaintenanceWindow Expired, UpdatingEndpoint Group",,,,,81-90%,Maintenance Window Expired
49,hsd-5cd4021jvf.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,"Disconnected, MaintenanceWindow Expired, UpdatingEndpoint Group",,,,,<70%,Disconnected
50,madsfkzb169.nmhsd.Icl,Intune-Endpoints,Windows 10,1|0|7 87.50%,,,,,"Disconnected,MaintenanceWindow Expired",,,,,81-90%,Maintenance Window Expired
51,tanf-dws3166.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|2 100.00%,,,,,,,,,,91-100%,Fully Patched
52,hsd-5cg02268yq.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,"Disconnected,MaintenanceWindow Expired",,,,,<70%,Disconnected
53,isdabc-g0230zt1,Intune-Endpoints,Windows 10,5|0|7 58.33%,,,,,"Disconnected,MaintenanceWindow Expired",,,,,<70%,Maintenance Window Expired
54,hsd-5cg0231hld.nmhsd.lcl,Intune-Endpoints,Windows 10,0|0|1 100.00%,,,,,,,,,,91-100%,Fully Patched
55,hsd-5cg0226825.nmhsd.lcl,Intune-Endpoints,Windows 10,0|1|0 0.00%,,,,,"Disconnected, Failed,Maintenance WindowExpired",,,,,<70%,Disconnected
56,oaaabhws060.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|7 100.00%,,,,,,,,,,91-100%,Fully Patched
57,hsd-5cd3446mh0.nmhsd.lcl,Intune-Endpoints,Windows 10,0|0|1 100.00%,,,,,,,,,,91-100%,Fully Patched
58,ITDROBWS002.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|10 100.00%,,,,,',,,,,91-100%,Fully Patched
59,asdsfazb329.nmhsd.Icl,Intune-Endpoints,Windows 10,0|0|10 100.00%,,,,,,,,,,91-100%,Fully Patched
60,hsd-mxl7232cwg.nmhsd.lcl,Intune-Endpoints,Windows 10,1|0|0 0.00%,,,,,"Disconnected,MaintenanceWindow Expired",,,,,<70%,Disconnected
